"","preEGCG_Means","Post_EGCG_Means","Post_EGCG_Quercentin_Means","MI_Male_Means","HealthyMale_Means"
"A1BG",5.7891515,5.702776,5.69721871428571,5.693156477,5.6532393305
"A1CF",4.95872028571429,5.04287828571429,4.91412157142857,2.64815396816667,2.61667533083333
"A2M",5.22050821428571,5.21453842857143,5.23634557142857,3.63726135266667,3.56828270816667
"A2ML1",4.44296814285714,4.51595228571429,4.48255014285714,3.0575012045,3.01434888316667
"A4GALT",5.655149,5.58383871428571,5.54306314285714,5.45614343933333,5.429790211
"A4GNT",4.4276445,4.50571971428571,4.31408771428571,2.84101529816667,2.80334544733333
"AAAS",8.11739035714286,8.10898528571428,8.12847928571429,7.040597266,7.043090155
"AACS",6.79906571428571,6.834701,6.78701928571429,5.43368531766667,5.42362040566667
"AADAC",2.46848507142857,2.40797685714286,2.42102928571429,2.7485493135,2.73765689683333
"AADACL2",2.91135207142857,2.84786571428571,2.90754242857143,3.04914661,3.0180952035
"AADACL3",4.639306,4.51308985714286,4.49538842857143,3.08035409433333,3.05882404483333
"AADACL4",3.81677757142857,3.73025814285714,3.79031071428571,3.208992764,3.212465028
"AADAT",3.77608485714286,3.83445942857143,3.80285071428571,3.123973922,3.0767013405
"AAGAB",6.828185,6.90383542857143,7.04225671428571,5.93729616516667,5.93149987283333
"AAK1",9.70338989285714,9.70603107142857,9.77270828571429,8.10781101916667,8.26242399666667
"AAMDC",5.72337035714286,5.762059,5.85462185714286,4.78830690983333,4.77049701666667
"AAMP",7.62616464285714,7.65054942857143,7.59509028571429,6.13672183383333,6.0756589435
"AANAT",5.44836835714286,5.44185885714286,5.30146842857143,4.71578519766667,4.6240007805
"AAR2",8.29122014285714,8.40415485714286,8.25379714285714,5.806535098,5.78933795566667
"AARD",5.55216828571429,5.64112542857143,5.50057971428571,4.89539438483333,4.8858699745
"AARS",8.04577864285714,8.01289142857143,8.12764157142857,7.0826208725,7.17460837683333
"AARS2",6.51637664285714,6.484936,6.48194957142857,5.76144700083333,5.74289641733333
"AASDH",6.97669535714286,7.041581,7.06683585714286,5.7678739505,5.9806452495
"AASDHPPT",8.08043064285714,8.18755771428571,8.08481871428571,6.69225679933333,6.81415431266667
"AASS",5.767465,5.75931057142857,5.85554071428571,3.80258408466667,3.8167085465
"AATF",9.41332478571429,9.40207914285714,9.48773542857143,8.78608118483333,8.88427514516667
"AATK",6.62437835714286,6.57923721428571,6.54736535714286,5.76206006016667,5.65208998583333
"ABAT",8.32356014285714,8.29375914285714,8.39984814285714,6.07687792216667,6.00113939383333
"ABCA1",8.1412025,7.82250671428571,8.05964085714286,5.76822801533333,5.73149008016667
"ABCA10",4.45311035714286,4.47792014285714,4.56057557142857,2.93183964766667,2.94334964
"ABCA12",3.73276935714286,3.70452771428571,3.72436271428571,2.63339116433333,2.62087667433333
"ABCA13",5.56302807142857,5.24771457142857,5.54079085714286,4.0799098345,4.2443271065
"ABCA2",7.820894,7.73530557142857,7.80777285714286,6.73647097816667,6.84894702566667
"ABCA3",6.16369321428571,6.15845557142857,6.134174,5.43274800166667,5.4270541645
"ABCA4",4.40762978571429,4.39139714285714,4.34633371428571,3.61496241333333,3.5825893245
