"","GSM192996","GSM1923003","GSM1923009","GSM1923016","GSM1923019","GSM1923023","GSM192997"
"1-Dec",4.148551,4.46895,4.030699,4.165751,4.523934,4.173164,4.166435
"1-Mar",7.23606233333333,7.20729833333333,7.51207,7.332813,7.27718866666667,7.511091,7.52774533333333
"10-Mar",4.10514,4.082586,4.282697,3.970882,4.082495,4.125022,4.261252
"11-Mar",3.195798,3.7876105,3.474285,3.5286605,3.4798005,3.8354565,3.4423015
"2-Mar",7.3892025,7.69132,7.3989015,6.8861295,7.035883,7.390754,7.28584
"3-Mar",9.155135,10.15868,8.877964,8.780509,8.863264,10.04935,8.513515
"4-Mar",4.996461,5.33223,4.868449,5.08981,5.259192,5.176988,4.936246
"5-Mar",7.948808,7.785665,7.89806,7.877639,7.882373,7.790421,8.050085
"6-Mar",10.82133,10.90766,10.65034,10.64844,10.56425,11.43826,10.73363
"7-Mar",10.96317,10.95642,11.0161,10.98446,10.91588,10.79248,11.01617
"8-Mar",12.34208,12.55047,12.43424,11.74763,12.02651,12.56062,12.19921
"9-Mar",7.352579,7.037564,7.189676,7.14723,7.237438,7.162361,7.196313
"A1BG",5.528297,5.764587,5.764587,6.006557,5.873204,5.723705,5.219594
"A1CF",4.848882,4.863649,4.814906,4.980546,5.054163,4.995842,4.840863
"A2M",5.222262,5.071532,5.079876,5.563161,5.06705,5.358116,5.292422
"A2ML1",4.708644,4.657805,4.688504,4.376927,4.080317,4.436366,4.429288
"A3GALT2",5.292504,5.257091,5.368741,5.168249,5.184233,5.176933,5.781777
"A4GALT",5.563328,5.355445,5.932517,5.078387,6.125771,5.897778,4.848216
"A4GNT",4.133892,4.671037,4.366967,4.470628,4.214759,4.244282,4.097049
"AAAS",8.246529,8.20874,7.751461,8.222694,8.119041,8.234786,8.116104
"AACS",6.800157,6.55977,6.947945,6.550997,6.926657,6.724702,6.998907
"AADAC",2.446191,2.543701,2.406417,2.341121,2.328756,2.503442,2.377577
"AADACL2",2.815962,2.875393,2.890048,3.085937,2.877069,2.921875,2.886513
"AADACL3",4.556795,4.669965,4.235673,4.000347,5.32486,4.313533,4.366546
"AADACL4",3.560704,4.035563,3.694322,3.773682,3.862661,3.472467,4.132776
"AADAT",3.654347,4.069684,3.775347,3.733094,3.919795,3.773381,3.694307
"AAGAB",6.882138,7.029491,7.052119,6.973339,6.947566,7.003033,7.408111
"AAK1",9.8867085,9.732136,9.667681,9.8335075,9.766538,9.6643915,9.8579955
"AAMDC",6.003112,5.771347,5.766054,6.024741,5.796611,5.785723,5.834765
"AAMP",7.818489,7.352383,7.419942,7.425533,7.819193,7.646613,7.683479
"AANAT",5.37618,5.333437,5.139646,5.302459,5.72122,5.306908,4.930429
"AAR2",8.220731,8.234076,8.304183,8.305298,8.248815,8.227146,8.236331
"AARD",5.266735,5.541408,5.434214,5.55669,5.492505,5.661089,5.551417
"AARS",8.151326,8.047251,7.978998,8.143648,8.118738,8.311783,8.141747
"AARS2",6.523652,6.331748,6.077329,6.743357,6.74098,6.259058,6.697523
"AASDH",7.155677,6.99454,7.04944,7.117154,7.037426,6.988525,7.125089
"AASDHPPT",8.271327,7.985837,8.113548,8.021082,7.939387,8.130602,8.131948
"AASS",5.669083,5.724113,5.686079,5.851205,6.006548,5.99945,6.052307
"AATBC",7.10143,6.807865,7.254031,6.92361,7.071293,6.572612,6.742863
"AATF",9.547566,9.427619,9.391138,9.448584,9.540323,9.462743,9.596175
"AATK",6.337191,6.513833,6.6104265,6.6647615,6.7289955,6.6177525,6.3585975
"ABAT",8.208357,8.191381,8.498124,8.401134,8.444623,8.452685,8.602633
"ABCA1",8.089243,7.892473,7.504571,8.891027,8.201544,7.941191,7.897437
"ABCA10",4.811203,4.426573,4.313498,4.754484,4.273319,4.863178,4.481774
"ABCA11P",5.08431,4.722048,4.992393,5.050394,4.969335,4.898391,5.080136
"ABCA12",3.877325,3.953357,3.709368,3.665874,3.707963,3.618258,3.538394
"ABCA13",5.73686,6.128542,5.324455,5.02496,5.922898,5.014042,5.633779
"ABCA2",7.551769,7.385618,7.719061,8.438434,7.580244,7.852983,8.126301
"ABCA3",5.990373,6.190131,6.109616,6.170046,5.749227,6.196074,6.533751
"ABCA4",4.314312,4.525148,4.418643,4.252871,4.461928,4.396705,4.054729
"ABCA5",7.160987,6.754121,7.015466,7.286062,6.805624,7.676859,7.240856
"ABCA6",4.551751,4.231574,4.168469,4.271649,4.273258,4.226786,4.445361
"ABCA7",7.760662,7.411658,7.757315,8.262963,8.104853,6.92879,7.377843
"ABCA8",2.986548,3.061153,3.056336,3.090199,3.056336,3.056336,2.999968
"ABCA9",4.262292,4.130649,4.212744,3.757201,4.117561,4.005111,4.030076
"ABCB1",6.899366,5.9516,6.543637,7.149213,5.929844,6.708002,7.494783
"ABCB10",7.902544,8.489661,8.169034,7.666607,7.77694,8.622051,7.883438
"ABCB11",3.627215,3.774247,3.630499,3.848139,3.646679,3.699454,3.860399
"ABCB4",6.701205,5.885194,5.895564,5.400343,5.838447,5.237403,5.613094
"ABCB5",3.274539,3.373182,3.335867,3.086873,3.494051,3.303088,3.446121
"ABCB6",5.137853,5.544434,5.260189,5.356027,5.501744,5.560361,5.90983
"ABCB7",7.383671,7.2385525,7.3267025,7.372976,7.0409165,7.2065915,7.434003
"ABCB8",6.5239295,6.4871035,6.499492,6.65627075,6.75433,6.570364,6.427662
"ABCB9",5.200861,5.515418,5.264942,5.172772,5.227644,5.229098,5.284519
"ABCC1",8.899532,8.920808,8.912271,8.810364,9.110237,8.755114,8.935086
"ABCC10",7.707253,7.584277,7.827501,7.917938,7.893945,7.6279,7.85545
"ABCC11",4.114747,4.367815,4.338603,4.275466,4.261124,3.930679,4.204588
"ABCC12",3.790412,4.162687,3.881572,3.932777,4.048337,3.88039,3.861117
"ABCC13",5.115554,6.130668,5.473176,5.299825,5.317441,5.754396,5.274269
"ABCC2",6.091838,5.915997,5.905465,6.021673,6.021673,5.686416,6.233035
"ABCC3",7.193159,7.692815,7.295344,7.086568,7.117891,7.354224,7.026747
"ABCC4",7.577645,8.595046,8.065986,8.038167,8.350489,9.481931,8.474937
"ABCC5",7.535664,7.775564,8.249046,8.413305,7.929052,7.647403,7.992171
"ABCC6",6.0718465,5.794076,6.004241,5.897302,6.113322,6.130026,5.856914
"ABCC8",5.089743,5.098448,5.134511,5.147084,5.18974,5.283371,4.977518
"ABCC9",3.564812,3.61717,3.629082,3.502624,3.612734,3.695006,3.667619
"ABCD1",7.483532,7.233891,7.66115,7.386559,7.784851,7.492648,7.363165
"ABCD2",8.957517,9.00394,8.85127,8.913644,8.480098,8.557331,8.968781
"ABCD3",7.437347,6.885231,7.434558,7.078309,7.419068,7.315691,7.547474
"ABCD4",6.922704,6.791294,6.71321,7.01877,7.026696,6.763243,6.995775
"ABCE1",8.134112,8.03926,8.448413,7.992998,7.864572,7.93279,8.007792
"ABCF1",7.1492136,6.859248475,7.0599422,7.107457975,7.197619575,7.1518061,7.4076805
"ABCF2",7.701988,7.408211,7.596751,7.682465,7.328314,7.671645,7.520568
"ABCF3",7.845321,7.90921,7.923773,8.072759,7.902812,7.753595,8.117172
"ABCG1",7.237543,7.589331,7.501116,8.145416,7.984192,7.716028,7.59917
"ABCG2",5.640965,6.927389,5.657196,5.688005,5.02521,7.925714,5.824736
"ABCG4",5.795942,6.260408,5.494415,5.876022,6.164581,6.117764,5.622879
"ABCG5",4.298387,4.629492,4.399841,4.483167,4.498172,4.417442,4.175368
"ABCG8",5.095551,5.295525,5.428429,5.216802,5.334388,5.33499,4.901535
"ABHD1",5.504099,5.602785,5.643304,5.600771,5.467641,5.570261,5.366709
"ABHD10",7.454847,6.967413,7.069476,6.939747,6.90996,6.902798,7.182445
"ABHD11",7.357574,7.203253,7.474744,7.438576,7.42884,7.087371,7.434381
"ABHD12",7.523221,7.623582,7.648066,7.427707,7.724715,7.289968,7.74979
"ABHD12B",4.469832,4.672695,4.535447,4.356104,4.866809,4.667217,4.595435
"ABHD13",9.466898,9.47407,9.586456,9.434736,9.425106,9.330705,9.429626
"ABHD14A",8.279919,8.492615,8.641733,8.522711,8.315384,8.422196,8.539602
"ABHD14A-ACY1",6.510111,6.62514,6.725864,6.650875,6.583408,6.47748,6.632245
"ABHD14B",8.154808,8.20539,8.269555,8.287869,8.042762,8.096946,8.023273
"ABHD15",7.46872,7.145456,7.403081,7.44278,7.391021,7.118571,7.257444
"ABHD16A",8.1894455,8.440183,8.289913,8.317889,8.34625,8.623839,8.5295235
"ABHD16B",5.582941,6.116716,5.468159,5.515533,6.030388,5.723841,5.641127
"ABHD17A",6.479763,6.823231,6.514215,6.498961,6.479763,6.246281,6.141204
"ABHD17AP4",7.266417,7.229582,7.238611,7.267651,7.222897,7.017864,6.875648
"ABHD17AP6",9.19721475,9.2440665,9.2925135,9.588012,9.249606,9.31389975,9.56610425
"ABHD17B",7.379437,7.286495,7.376939,7.192925,7.228518,7.063841,7.580268
"ABHD17C",6.048693,6.215015,5.874693,6.191681,6.028753,6.23444,6.155882
"ABHD18",8.572538,8.527127,8.591865,8.527127,8.33523,8.527127,8.543891
"ABHD2",10.49939,10.29527,10.43501,10.53246,10.64432,10.45507,10.57145
"ABHD3",8.762884,8.836181,8.941322,9.204591,9.240718,9.105965,9.130296
"ABHD4",8.994555,8.977669,9.309412,9.108292,9.105618,9.137528,9.054893
"ABHD5",10.82482,10.60465,11.01216,10.92297,10.97246,10.92985,10.93512
"ABHD6",7.642677,7.115627,7.788982,7.592214,7.55876,7.726804,7.800062
"ABHD8",6.588232,6.376851,6.528442,6.446851,6.44318,6.239857,6.385186
"ABI1",9.471004,9.417337,9.546288,9.555998,9.406843,9.359077,9.526396
"ABI2",7.967867,7.719059,7.912678,7.898202,7.789449,7.771507,7.996528
"ABI3",8.989968,8.734769,9.307418,9.132987,9.116213,9.215247,9.559075
"ABI3BP",4.44362,4.377013,4.09025,4.172889,4.519685,4.355688,4.064581
"ABITRAM",8.027647,7.905246,7.854272,7.606744,7.452672,7.809835,7.933172
"ABL1",7.611392,7.100741,7.308001,7.528704,7.514651,7.550848,7.776211
"ABL2",7.186764,6.982574,6.934997,7.462919,7.182618,7.181974,7.370952
"ABLIM1",9.224421,8.884317,8.665445,8.603431,8.867818,8.52735,8.669201
"ABLIM2",6.108117,6.203392,6.082736,6.199716,6.298429,6.430328,6.132469
"ABLIM3",6.809874,7.701959,6.881892,6.997985,6.7268,6.939305,7.057978
"ABO",5.998984,6.536282,6.227112,6.22857,6.345725,6.093253,6.139391
"ABR",9.237358,9.298513,9.332983,9.457757,9.420655,9.209739,9.525802
"ABRA",4.41066,4.338416,4.398596,4.770525,4.31201,4.433573,4.043903
"ABRACL",7.190529,6.823911,6.97258,6.963257,6.641464,6.98907,7.119999
"ABRAXAS1",8.061726,7.821759,8.148098,7.843211,7.576717,7.656431,8.042692
"ABRAXAS2",8.334499,8.314556,8.459606,8.371855,8.400871,8.365644,8.607339
