"","GSM1923001","GSM1923005","GSM1923011","GSM1923013","GSM1923021","GSM1923006","GSM1923014"
"1-Dec",4.325837,4.444246,4.436708,3.939017,4.340189,4.226217,4.12005
"1-Mar",7.366961,7.16291866666667,7.388059,7.365563,7.704527,7.431673,7.238392
"10-Mar",4.351003,4.429537,4.211385,4.276388,4.007703,4.171409,4.38114
"11-Mar",3.2900705,3.5394655,3.481696,2.8780775,3.8448845,3.678603,3.43577
"2-Mar",7.225487,7.487581,7.2107135,7.2809105,7.267437,7.3380275,7.2127075
"3-Mar",8.95845,9.375602,8.288738,9.075292,9.181434,8.691098,8.967409
"4-Mar",5.439294,5.15378,5.573073,5.051716,5.193753,5.224095,5.302613
"5-Mar",7.838017,7.642599,7.603108,8.034138,8.015072,7.859329,7.759394
"6-Mar",10.71867,10.75238,10.64475,10.54677,10.79663,10.58976,10.65902
"7-Mar",10.97698,10.96147,10.96088,11.12833,11.18104,10.98485,10.98407
"8-Mar",12.15543,12.18026,11.60079,12.14716,12.31387,12.03078,12.04743
"9-Mar",7.081952,7.239744,7.005333,7.427591,7.460372,6.964578,7.284086
"A1BG",5.764587,5.656082,5.768962,5.398618,5.662966,5.907131,5.761086
"A1CF",5.192471,5.03739,5.246904,4.867629,4.890222,5.117206,4.948326
"A2M",5.178615,5.382611,5.411918,4.974606,5.113063,5.218694,5.222262
"A2ML1",4.761329,4.437904,4.680801,4.33665,4.753313,4.410095,4.231574
"A3GALT2",5.642094,5.080503,5.077715,5.109438,5.612808,5.291484,5.247828
"A4GALT",5.532371,5.238535,5.675931,5.860508,5.842418,5.387529,5.549579
"A4GNT",5.021523,4.419812,4.637604,4.312128,4.366967,4.282963,4.499041
"AAAS",8.005117,8.170789,8.11812,8.162571,7.841892,8.045095,8.419313
"AACS",6.784574,7.019756,6.988609,6.821994,6.70394,6.702507,6.821527
"AADAC",2.331594,2.364978,2.357068,2.47813,2.453773,2.445078,2.425217
"AADACL2",2.915781,2.735254,2.84778,2.727172,2.872015,2.979837,2.857221
"AADACL3",4.759602,4.419033,4.529965,4.379411,4.760467,4.301224,4.441927
"AADACL4",3.779099,3.509454,3.685523,3.828404,3.853983,3.791996,3.663348
"AADAT",3.767399,3.857619,3.9019,3.774168,3.793656,3.830835,3.915639
"AAGAB",6.810254,6.918605,6.919746,6.973062,6.88093,7.118693,6.705558
"AAK1",9.667274,9.851986,9.7133535,9.504909,9.554558,9.735935,9.914202
"AAMDC",5.825187,5.667854,5.520585,5.766908,5.805397,5.759623,5.988859
"AAMP",7.602507,7.622574,7.670245,7.957168,7.646218,7.412994,7.64214
"AANAT",5.576089,5.461731,5.482831,5.23826,5.306183,5.578524,5.449394
"AAR2",8.255962,8.472808,8.469219,8.586764,8.145656,8.353879,8.544796
"AARD",5.949804,5.635425,5.695602,5.387033,5.576269,5.715252,5.528493
"AARS",7.791947,8.119729,8.405408,7.765586,8.022645,7.920453,8.064472
"AARS2",6.506737,6.623106,6.496459,6.396493,6.460147,6.431945,6.479665
"AASDH",6.810516,7.11863,6.775662,7.115391,7.128613,7.224165,7.11809
"AASDHPPT",8.14959,8.227707,8.044396,8.420759,7.98913,8.190771,8.290551
"AASS",6.033454,5.756665,5.877291,5.667102,5.47945,5.509156,5.992056
"AATBC",6.812089,6.89714,7.077336,7.004278,6.519529,7.028184,7.005785
"AATF",9.427619,9.327901,9.444922,9.360919,9.400059,9.382234,9.4709
"AATK",6.7820985,6.5339285,6.4868565,6.4113875,6.702704,6.489219,6.6484665
"ABAT",8.479019,8.008812,8.722827,8.064382,8.339452,8.218072,8.22375
"ABCA1",8.101398,7.690589,7.842669,7.534712,8.238068,7.958333,7.391778
"ABCA10",4.298388,4.472524,4.5365,4.406285,4.300941,4.649873,4.68093
"ABCA11P",4.968805,5.307734,4.978029,5.396134,5.043271,4.979188,4.961533
"ABCA12",3.805059,3.625311,3.866467,3.6607,3.582336,3.691741,3.70008
"ABCA13",5.472137,4.934646,5.154675,5.330509,5.585684,5.159781,5.09657
"ABCA2",7.563735,7.844086,7.753043,7.593103,7.873247,7.886026,7.633899
"ABCA3",6.105065,6.144739,6.142533,6.306186,6.058554,6.061032,6.29108
"ABCA4",4.572385,4.225449,4.477859,4.389392,4.325625,4.418926,4.330144
"ABCA5",7.115082,7.157286,6.807395,6.989591,7.040984,6.851912,6.97623
"ABCA6",4.230441,4.186272,4.336338,4.273258,4.506431,4.410901,4.291299
"ABCA7",7.850373,7.233238,7.499532,8.024963,7.463992,7.500021,7.967978
"ABCA8",3.186546,3.034009,3.139171,2.905796,3.374419,3.116126,3.006349
"ABCA9",4.165611,4.010015,4.109028,4.005558,4.01584,3.962068,4.085516
"ABCB1",6.289824,6.645651,6.599669,6.660654,6.498427,6.248222,6.164105
"ABCB10",8.002612,7.912471,7.67476,8.17922,8.192686,8.037333,7.823378
"ABCB11",3.908061,3.760279,3.796712,3.748518,3.769529,3.649457,3.880787
"ABCB4",6.224755,5.938109,5.588912,6.696915,5.819827,5.971596,6.031224
