"","value","change","pre_GSM1923000","pre_GSM1923004","pre_GSM1923010","pre_GSM1923012","pre_GSM1923007","pre_GSM1923020","pre_GSM192998","pre_GSM1922995","pre_GSM1923002","pre_GSM1923008","pre_GSM1923015","pre_GSM1923018","pre_GSM1923022","pre_GSM1923017","post_EG_GSM1923001","post_EG_GSM1923005","post_EG_GSM1923011","post_EG_GSM1923013","post_EG_GSM1923021","post_EG_GSM1923006","post_EG_GSM1923014","post_EQ_GSM192996","post_EQ_GSM1923003","post_EQ_GSM1923009","post_EQ_GSM1923016","post_EQ_GSM1923019","post_EQ_GSM1923023","post_EQ_GSM192997"
"HBZ","Fold Change EGCG",1.1979564648915,5.811648,5.069629,6.523757,3.919103,3.86604,7.004467,6.80334,3.463336,5.055998,4.500188,3.313138,2.791657,3.460742,6.49291,5.949213,5.355846,4.110092,6.065581,7.461491,5.072135,6.761656,2.427704,3.137046,5.007051,2.960443,3.446559,3.151683,7.39416
"FAU","Fold Change EGCG",1.19519831765561,2.923815,3.196819,3.117909,2.450092,2.701025,2.93315,2.538203,2.92258,3.709078,3.363532,3.29523,2.712208,2.283188,2.842638,3.573943,3.869781,3.168412,3.493053,4.284653,3.411751,2.693678,3.052848,3.10222,3.584512,3.112173,3.244807,2.657585,3.565466
"RNA5SP449","Fold Change EGCG",1.15303699904635,3.236636,3.436943,2.643492,2.394457,2.329058,2.719405,2.585292,2.316245,2.779747,2.705528,2.990566,2.758645,3.183854,2.826351,3.748873,3.630504,3.06006,3.161716,3.210827,3.008668,2.609507,2.743898,3.226776,2.87134,3.928728,2.814982,2.051197,2.159757
"RNY3P16","Fold Change EGCG",1.15299807358301,3.175538,4.714185,2.78867,3.581125,3.960004,3.358239,3.516727,3.861783,4.316494,4.311824,3.72357,2.650609,3.83391,3.562766,3.742654,5.294493,3.64987,4.996494,3.874503,3.88742,4.16093,4.893936,2.541502,3.360436,4.825012,2.946133,2.932543,3.230829
"MTCO2P29","Fold Change EGCG",1.12397865892496,2.710522,2.405929,2.597339,2.218805,2.976291,2.569777,2.258775,2.618027,2.571665,2.925948,2.697137,2.303258,2.173146,2.966132,3.081719,2.65705,3.278426,2.435193,2.80391,2.982139,2.989105,2.563539,3.233945,2.357943,2.578497,2.31012,2.383018,2.652509
"TMEM176A","Fold Change EGCG",1.12129386524043,8.234849,10.17415,9.692642,9.823821,8.315637,9.197305,7.918641,7.678146,6.915335,7.677896,9.219242,7.738728,8.038414,6.521366,8.261001,10.30215,9.6131,9.378744,9.459219,9.584011,9.079417,7.697928,6.728965,7.830197,9.018084,8.074804,7.873861,7.716066
"TMEM176B","Fold Change EGCG",1.10566416369654,7.590224,8.562156,9.000389,8.615328,7.479093,8.458378,6.951741,6.795467,6.976371,7.125981,8.368604,7.022178,7.24143,6.800087,7.40834,8.71894,8.723102,8.87225,8.598404,8.934507,7.890539,6.96056,6.832266,7.267973,8.186852,6.966214,7.202069,7.137103
"PSG1","Fold Change EGCG",1.09818642824966,3.37865,3.592083,2.956225,2.864717,2.961254,2.785112,2.640877,2.968819,3.691666,3.117869,2.902952,2.81784,2.999175,2.642785,3.321838,3.656686,3.610793,3.054667,3.4991,3.062416,3.032138,3.118946,3.584498,3.755263,3.227024,2.983323,2.988232,2.655874
"CYP4F35P","Fold Change EGCG",1.09482017025642,5.727632,4.453184,4.743564,5.059506,5.341248,5.342484,5.627999,4.791713,3.523219,4.764615,5.844336,6.108862,3.653342,3.393748,5.331326,5.425857,5.051238,5.652168,5.159725,5.153096,5.656002,5.387603,3.99558,5.659101,5.648862,5.342055,5.249089,5.523956
"RN7SKP198","Fold Change EGCG",1.09284182426493,4.638636,4.436777,4.5267,4.315451,3.925748,4.564003,3.621635,4.346113,4.703253,3.809677,4.002262,4.283495,4.2086,4.242674,4.83402,4.940313,4.780491,4.714173,4.572099,5.11038,3.628884,4.435178,3.894447,4.438204,3.693426,4.386437,4.480537,4.215346
"RNA5SP63","Fold Change EGCG",1.0899679117,6.031024,6.647255,6.119845,5.483854,5.280619,4.799551,4.903502,6.227046,6.127749,5.646268,5.341722,5.78592,4.254113,5.273703,5.919379,5.900205,6.717534,5.701843,6.141848,6.13834,5.947184,5.305202,6.328917,5.241449,5.406178,5.320288,5.614786,5.416752
"NPY5R","Fold Change EGCG",1.08884945741229,3.009981,3.114035,3.21424,2.687575,3.069981,2.957445,3.070503,2.962789,2.875265,2.976118,3.051528,2.776554,2.888251,3.083964,3.089412,3.074352,3.670423,2.846602,3.392733,3.277361,3.372441,2.733057,3.214177,3.107518,2.841691,3.21419,2.993068,2.908655
"MIR548AD","Fold Change EGCG",1.0882735759278,2.138376,2.369435,2.336002,2.191544,2.302679,2.243055,2.44179,2.969253,2.920373,2.432497,2.454181,2.323431,2.086755,2.448912,3.004035,2.474798,2.229012,2.405735,3.389984,2.226802,2.584344,2.44098,2.177983,2.344524,2.399625,2.292995,2.802598,3.399171
"RN7SL452P","Fold Change EGCG",1.08679618330106,3.32528,2.845915,3.741096,3.58836,3.200579,3.208239,3.312527,3.697613,3.91207,3.152898,3.433363,3.281252,3.338976,3.144909,3.796416,4.063281,3.433363,3.769459,3.532828,3.408808,3.635039,4.33767,3.548043,3.625212,3.647851,3.087612,3.169832,3.257447
"GPR87","Fold Change EGCG",1.08675180682356,2.61623,2.698809,3.03402,2.661114,2.571358,2.812303,2.558576,2.490596,2.582445,2.633298,2.433648,2.575667,2.513911,2.685626,2.866827,2.693574,2.698809,2.718318,3.235313,2.90009,2.920035,3.050078,2.764291,2.660055,2.932639,3.072193,2.743607,2.698809
