"","preEGCG_Means","Post_EGCG_Means","Post_EGCG_Quercentin_Means","MI_Male_Means","HealthyMale_Means","Fold_Change_Post_EGCG_to_Overweight_Females","Fold_Change_MI_Males_to_Healthy_Males","Fold_Change_MI_Males_to_Overweight_Females","Fold_Change_Overweight_Females_to_Healthy_Males","Fold_Change_MI_Males_to_Post_EGCG_Females"
"A1BG",5.7891515,5.702776,5.69721871428571,5.693156477,5.6532393305,0.985079765143476,1.00706093341646,0.983418118700124,1.02404146747631,0.998313185894028
"A1CF",4.95872028571429,5.04287828571429,4.91412157142857,2.64815396816667,2.61667533083333,1.01697171753012,1.01203001265094,0.534039795669824,1.8950460637144,0.525127480405087
"A2M",5.22050821428571,5.21453842857143,5.23634557142857,3.63726135266667,3.56828270816667,0.998856474222578,1.01933104805349,0.696725530038139,1.46303099873158,0.697523165758533
"A2ML1",4.44296814285714,4.51595228571429,4.48255014285714,3.0575012045,3.01434888316667,1.01642688862725,1.01431563598172,0.688166357756914,1.47393958531756,0.677044621169285
"A4GALT",5.655149,5.58383871428571,5.54306314285714,5.45614343933333,5.429790211,0.987390202147761,1.00485345240042,0.96480984662532,1.0415041429305,0.977131274471506
"A4GNT",4.4276445,4.50571971428571,4.31408771428571,2.84101529816667,2.80334544733333,1.0176335779184,1.01343746303873,0.641653885754981,1.57941451853955,0.630535292543614
"AAAS",8.11739035714286,8.10898528571428,8.12847928571429,7.040597266,7.043090155,0.998964559906721,0.999646051811756,0.867347380898673,1.1525325075358,0.868246398030038
"AACS",6.79906571428571,6.834701,6.78701928571429,5.43368531766667,5.42362040566667,1.00524120330819,1.00185575524229,0.799181173708882,1.2536027977146,0.795014341910008
"AADAC",2.46848507142857,2.40797685714286,2.42102928571429,2.7485493135,2.73765689683333,0.975487713097372,1.00397873695541,1.11345591890064,0.901678027763043,1.14143510364183
"AADACL2",2.91135207142857,2.84786571428571,2.90754242857143,3.04914661,3.0180952035,0.978193514358534,1.01028841186454,1.04733008416389,0.964632284645082,1.07067780433066
"AADACL3",4.639306,4.51308985714286,4.49538842857143,3.08035409433333,3.05882404483333,0.972794175926929,1.00703866884281,0.663968725997666,1.51669593673957,0.682537727330658
"AADACL4",3.81677757142857,3.73025814285714,3.79031071428571,3.208992764,3.212465028,0.97733181277864,0.998919127844277,0.840759699496692,1.18811490184682,0.860260239668592
"AADAT",3.77608485714286,3.83445942857143,3.80285071428571,3.123973922,3.0767013405,1.01545902002656,1.01536469623415,0.82730501039739,1.22731602428762,0.814710386220952
"AAGAB",6.828185,6.90383542857143,7.04225671428571,5.93729616516667,5.93149987283333,1.01107914161251,1.00097720516861,0.869527724448982,1.15117342095438,0.859999666358681
"AAK1",9.70338989285714,9.70603107142857,9.77270828571429,8.10781101916667,8.26242399666667,1.00027219132701,0.981287213345336,0.835564798353098,1.17439989726644,0.83533742675041
"AAMDC",5.72337035714286,5.762059,5.85462185714286,4.78830690983333,4.77049701666667,1.00675976573993,1.00373334122303,0.836623634508895,1.19974299054106,0.831006227085375
"AAMP",7.62616464285714,7.65054942857143,7.59509028571429,6.13672183383333,6.0756589435,1.00319751629505,1.0100504144326,0.804693069350547,1.25519959460791,0.802128251196624
"AANAT",5.44836835714286,5.44185885714286,5.30146842857143,4.71578519766667,4.6240007805,0.998805238637827,1.01984956783609,0.86554081672621,1.17828015516765,0.866576168449654
"AAR2",8.29122014285714,8.40415485714286,8.25379714285714,5.806535098,5.78933795566667,1.01362100056926,1.00297048513406,0.700323353855501,1.43215341829226,0.69091243518257
"AARD",5.55216828571429,5.64112542857143,5.50057971428571,4.89539438483333,4.8858699745,1.01602205449824,1.00194937859236,0.881708574545401,1.13637250166128,0.867804562550393
