"","value","change"
"HBZ","Fold Change EGCG",1.1979564648915
"FAU","Fold Change EGCG",1.19519831765561
"RNA5SP449","Fold Change EGCG",1.15303699904635
"RNY3P16","Fold Change EGCG",1.15299807358301
"MTCO2P29","Fold Change EGCG",1.12397865892496
"TMEM176A","Fold Change EGCG",1.12129386524043
"TMEM176B","Fold Change EGCG",1.10566416369654
"PSG1","Fold Change EGCG",1.09818642824966
"CYP4F35P","Fold Change EGCG",1.09482017025642
"RN7SKP198","Fold Change EGCG",1.09284182426493
"RNA5SP63","Fold Change EGCG",1.0899679117
"NPY5R","Fold Change EGCG",1.08884945741229
"MIR548AD","Fold Change EGCG",1.0882735759278
"RN7SL452P","Fold Change EGCG",1.08679618330106
"GPR87","Fold Change EGCG",1.08675180682356
"RNU6-1024P","Fold Change EGCG",1.08635298063626
"BUD31P2","Fold Change EGCG",1.08454008148719
"RNU6-893P","Fold Change EGCG",1.08452298827636
"ZNF578","Fold Change EGCG",1.08370567797554
"RNU6-263P","Fold Change EGCG",1.08296845555113
"KARSP3","Fold Change EGCG+Quercentin",1.20147519555536
"RNU4-51P","Fold Change EGCG+Quercentin",1.17394198690768
"RNU6-1244P","Fold Change EGCG+Quercentin",1.16278142136414
"RNU6-403P","Fold Change EGCG+Quercentin",1.1376790402047
"RNU6-1024P1","Fold Change EGCG+Quercentin",1.13592970337616
"COX7B","Fold Change EGCG+Quercentin",1.13441490360885
"ZNF847P","Fold Change EGCG+Quercentin",1.12836921677981
"RNU6-853P","Fold Change EGCG+Quercentin",1.12684406548504
"RNU6-943P","Fold Change EGCG+Quercentin",1.12566451318903
"RNA5SP30","Fold Change EGCG+Quercentin",1.11653860925354
"OR5M10","Fold Change EGCG+Quercentin",1.10477325319024
"RNY1P5","Fold Change EGCG+Quercentin",1.1002826619714
"DDX18P6","Fold Change EGCG+Quercentin",1.0976740481414
"HMGB3P24","Fold Change EGCG+Quercentin",1.09673527317481
"LINC01356","Fold Change EGCG+Quercentin",1.09630937171564
"MTCO1P11","Fold Change EGCG+Quercentin",1.09497767021839
"RPS7","Fold Change EGCG+Quercentin",1.09164691380109
"RNU6-98P","Fold Change EGCG+Quercentin",1.08966174574791
"FAU1","Fold Change EGCG+Quercentin",1.08904128955861
"GSTM1","Fold Change EGCG+Quercentin",1.08827518150161
"RNU4-2","Down Regulated EGCG",0.724742571428571
"TMTC1","Down Regulated EGCG",0.68544
"SLFN14","Down Regulated EGCG",0.614813785714285
"SLC14A1","Down Regulated EGCG",0.59353807142857
"GSTM11","Down Regulated EGCG",0.592496357142857
"SCARNA10","Down Regulated EGCG",0.587677071428571
"RNF182","Down Regulated EGCG",0.583718428571429
"LINC00189","Down Regulated EGCG",0.573705571428571
"XK","Down Regulated EGCG",0.560327642857143
"TSPAN7","Down Regulated EGCG",0.550077785714286
"SFRP2","Down Regulated EGCG",0.542122785714286
"ORM1","Down Regulated EGCG",0.531246214285714
"LRP1","Down Regulated EGCG",0.5302475
"RPPH1","Down Regulated EGCG",0.525648357142856
"ALDH5A1","Down Regulated EGCG",0.509673428571429
"LGALS2","Down Regulated EGCG",0.507206285714286
"IFIT1B","Down Regulated EGCG",0.507117285714287
"RNA5SP242","Down Regulated EGCG",0.498469
"UBE2O","Down Regulated EGCG",0.495240571428571
