,Posttreatment_Placebo1,Posttreatment_Placebo2,Posttreatment_Placebo3,Posttreatment_Placebo4,Posttreatment_Placebo5,Posttreatment_Placebo6,Posttreatment_Placebo7
ID_REF,GSM1923001,GSM1923005,GSM1923011,GSM1923013,GSM1923021,GSM1923006,GSM1923014
7892501,2.596327,4.308085,3.514315,3.929913,2.745972,4.208373,4.209341
7892502,4.789131,5.230508,5.151532,5.460957,4.744548,5.216757,4.794198
7892503,3.782462,4.138203,3.930251,4.301493,3.912466,4.972081,4.134669
7892504,8.360268,7.99641,8.065821,8.318542,7.994679,8.232096,8.236208
7892505,2.762295,3.628937,2.184855,3.167063,4.354055,3.027877,2.516105
7892506,6.594969,7.31614,6.159986,6.531276,6.723202,7.062873,6.975959
7892507,7.171903,7.074036,6.306791,6.936056,6.308205,6.987814,6.92306
7892508,8.030111,7.953736,7.963452,7.700506,7.687822,7.448742,7.8406
7892509,8.996678,9.275351,8.997667,9.012632,9.048354,8.73594,9.054478
7892510,6.442986,6.601269,6.699342,6.869249,6.316939,6.572021,7.065983
7892511,5.647854,4.963941,5.676011,5.756888,5.621089,5.302642,5.287895
7892512,7.202007,6.961733,6.712854,6.967602,6.640996,6.583481,6.748216
7892513,4.002998,4.84777,4.22188,5.032534,3.404377,5.469022,5.113771
7892514,9.658089,9.80053,9.968531,9.735291,9.931128,9.849642,9.830088
7892515,8.656742,8.545628,8.773014,8.169386,8.561263,8.571799,8.730375
7892516,4.986949,5.087113,5.040341,6.242861,3.529422,4.307272,5.353375
7892517,8.352385,8.200742,7.951138,8.265882,8.104633,8.490617,8.482152
7892518,4.688686,4.9744,3.580739,5.418999,4.28635,3.505715,5.226012
7892519,4.401623,4.716386,5.026052,4.373657,4.328042,4.477493,4.82077
7892520,9.500739,9.144766,9.313373,9.107885,9.290921,9.462702,9.255682
7892521,9.283687,9.515088,9.46598,9.487616,9.4834,9.595179,9.357396
7892522,7.23247,7.704199,7.371124,7.640877,7.852388,7.597138,7.563471
7892524,5.905684,6.144125,6.828627,6.242975,6.78706,6.003922,6.359607
7892525,7.390916,7.537058,7.322777,7.348108,7.494899,7.507032,7.453376
7892526,6.741009,6.250159,6.488399,7.425379,5.982949,6.744174,5.744044
7892527,8.590049,8.70193,8.476687,8.176969,8.667217,8.652798,8.507042
7892528,2.155145,2.066695,1.993019,2.787969,2.714235,2.452862,2.455964
7892529,6.054476,6.419191,5.826778,6.142815,6.519015,5.445017,6.265922
7892530,8.027979,7.876502,7.889113,8.205488,7.947371,8.280586,8.059234
7892531,7.03817,7.548575,7.415877,7.464593,7.78615,7.433843,7.768331
7892532,4.583169,3.402816,4.571223,4.664905,4.537399,4.857054,4.073455
7892533,5.632699,4.161012,5.047242,6.378671,5.799519,5.730977,6.246106
7892534,7.592522,7.731515,7.333079,7.730428,7.583712,7.723721,7.802336
7892535,6.846384,6.716644,6.716644,6.324456,6.79579,6.65331,6.557268
7892536,10.80257,11.31127,11.05411,11.27087,11.23545,11.3021,10.94858
7892537,3.620317,3.849056,2.856227,3.367034,5.288398,3.119136,3.653301
7892538,6.405302,6.218901,5.734296,6.066282,5.576173,6.290119,5.614249
7892539,7.080485,7.345453,6.558293,7.176252,6.687526,7.326366,7.183837
7892540,7.203646,7.075519,6.817689,7.264132,7.205773,7.158461,7.23664
7892541,8.939268,9.219637,8.3751,9.174191,9.302322,9.149431,9.000454
7892542,9.830532,9.369886,9.550806,9.280073,9.097792,9.384149,9.527531
7892543,7.207222,6.667397,7.406607,6.903749,6.986388,6.541423,6.700375
7892544,5.746203,4.812674,5.677581,5.907478,5.216461,5.658235,5.532741
7892545,5.831822,5.965837,5.548005,5.220321,5.783796,5.774737,5.666282
7892547,6.387262,6.379223,6.042584,6.17627,5.957617,5.493469,5.907529
7892548,8.458058,8.738393,8.600875,8.746151,8.182179,8.532119,8.516131
7892549,6.991876,7.207193,7.274393,7.59481,7.740517,7.231715,7.11487
