,Posttreatment_Quercetin1,Posttreatment_Quercetin2,Posttreatment_Quercetin3,Posttreatment_Quercetin4,Posttreatment_Quercetin5,Posttreatment_Quercetin6,Posttreatment_Quercetin7
ID_REF,GSM192996,GSM1923003,GSM1923009,GSM1923016,GSM1923019,GSM1923023,GSM192997
7892501,5.090261,3.862582,3.761135,5.419641,5.374892,3.441386,4.97069
7892502,4.63899,4.780547,5.374969,5.702544,5.277305,4.842178,5.508381
7892503,4.802331,4.020701,3.316486,2.887671,4.153789,3.801471,4.477934
7892504,8.012138,8.412894,8.132331,8.047318,8.086029,8.424755,7.49546
7892505,2.70484,3.71438,3.530207,3.776169,3.097209,4.009347,3.778368
7892506,6.493632,6.513323,7.352324,6.90691,6.244677,6.334114,7.269451
7892507,6.677046,6.811831,7.228456,7.233873,6.907954,6.022177,6.882274
7892508,8.185751,7.32861,7.94803,7.852818,6.973392,7.330529,7.916059
7892509,9.214386,8.995296,8.960716,9.074993,9.092222,9.151894,8.650109
7892510,6.375329,6.665221,6.774395,5.950383,6.397505,5.780315,7.451196
7892511,6.32503,5.638234,5.64982,5.760761,5.381816,5.67443,6.091977
7892512,6.743193,6.348942,6.489552,6.546709,6.908682,6.644236,6.205856
7892513,4.393736,4.193645,3.93852,3.827447,4.572549,5.159194,4.950527
7892514,10.20732,9.75328,9.757863,9.738952,9.703865,10.03587,9.920426
7892515,8.454523,8.818696,8.552971,8.59831,8.69857,8.699387,8.307788
7892516,5.031894,4.952707,5.341612,4.275479,4.680752,4.884256,5.646507
7892517,8.130703,7.96335,7.450198,8.593778,7.999549,8.186977,8.105785
7892518,4.463657,4.495879,3.701139,3.214699,4.652356,4.523523,5.187422
7892519,5.143286,4.345446,4.88749,4.554917,4.870159,3.617959,4.895105
7892520,9.007553,9.313357,9.173967,9.401254,9.462821,9.267958,8.659456
7892521,9.312601,9.16393,9.47358,9.369107,9.357695,8.979443,9.630791
7892522,7.692141,7.609784,7.599989,7.67532,7.385341,7.945627,7.127715
7892524,6.506055,5.671319,6.629047,7.095992,7.06587,6.575361,6.39117
7892525,7.1078,7.557395,7.221925,7.675667,7.57163,7.528181,7.089184
7892526,7.196337,6.407737,6.849225,6.364423,6.019567,6.926796,6.754374
7892527,8.593071,8.408649,8.265121,8.730967,8.316493,8.328121,8.124443
