"","GSM1923000","GSM1923004","GSM1923010","GSM1923012","GSM1923007","GSM1923020","GSM192998","GSM1922995","GSM1923002","GSM1923008","GSM1923015","GSM1923018","GSM1923022","GSM1923017"
"1-Dec",4.48631,4.505877,4.283176,4.472712,4.353671,4.372567,4.009335,4.438154,4.437715,4.353964,4.321344,3.966349,4.271813,4.379049
"1-Mar",7.30833833333333,7.21389433333333,7.62311766666667,7.26026066666667,7.578084,7.54618033333333,7.377023,7.361996,7.283178,7.65159466666667,7.23284133333333,7.270348,7.68422866666667,7.826675
"10-Mar",4.411598,4.164877,4.113764,4.145326,4.112352,3.736974,4.145124,3.967773,4.101036,4.145252,4.089064,3.972693,4.220609,4.114788
"11-Mar",3.525518,3.9811705,3.45603,3.7779895,3.615476,3.6062935,3.398433,3.3162865,3.8150195,3.5855215,3.8421905,3.6289855,3.636267,3.8902915
"2-Mar",7.040977,7.539444,7.432591,7.234487,7.3233415,7.159719,7.4796325,7.3595425,7.87827,7.5105395,7.1078585,7.45167,7.249956,7.593357
"3-Mar",8.645247,9.103646,8.284616,8.812553,8.739686,9.183837,9.31037,8.915559,10.18055,8.864908,8.798963,9.053791,9.993496,8.766952
"4-Mar",5.360519,5.646338,5.180694,5.629312,5.221339,4.965711,5.042834,5.20738,5.010155,5.359889,4.92694,5.312867,5.300813,5.544491
"5-Mar",7.508699,7.411176,7.7691,7.932708,7.794463,8.040142,7.644814,7.877353,7.869206,7.732044,7.791598,7.282801,7.794907,7.772028
"6-Mar",10.76731,10.78096,10.62758,10.53784,10.71711,10.93674,10.67524,10.75922,10.89417,10.57898,10.61286,10.72812,11.16022,10.7904
"7-Mar",10.74836,10.7521,11.08357,11.1045,10.75403,11.04663,10.99642,10.99427,10.98767,11.05512,11.0538,10.65564,10.85739,11.01439
"8-Mar",12.08533,12.1627,11.78748,11.75137,12.14564,12.32045,12.62282,12.28014,12.59949,12.43407,11.90041,12.23666,12.37414,12.00076
"9-Mar",7.11071,7.230362,6.942712,7.660824,7.568432,7.407469,7.187857,7.217472,7.592351,6.924881,7.341859,7.397369,7.210538,7.126562
"A1BG",5.705518,5.800366,5.740167,6.014713,5.831803,5.781903,5.705575,5.586012,5.661858,5.908621,5.764587,5.944134,5.829834,5.77303
"A1CF",4.97947,5.016045,4.940516,5.27288,4.730623,4.908793,4.875576,4.776101,4.93118,5.032136,4.932582,4.787779,5.109375,5.129028
"A2M",5.120528,5.562576,5.222262,5.172799,5.222262,5.134945,5.004498,5.222262,4.901538,5.205879,5.53594,5.222682,5.612928,4.946016
"A2ML1",4.323634,4.749482,4.400043,4.662191,4.149055,4.16198,4.543337,4.41294,4.721792,4.498663,4.312137,4.345258,4.268776,4.652266
"A3GALT2",5.814351,4.875746,4.655354,5.164706,5.149493,5.541594,5.537673,4.885902,5.23134,5.247494,4.935609,5.102459,5.504876,5.638676
"A4GALT",5.506344,5.513363,5.366741,5.812855,5.613264,6.13279,5.627429,5.403045,4.812951,5.48737,5.534576,5.976022,6.218213,6.167123
"A4GNT",4.261966,4.485056,4.416659,4.569137,4.5161,4.396629,4.462824,4.243433,4.547455,4.423799,4.490657,4.244057,4.228227,4.701024
"AAAS",8.084252,8.129042,7.988941,8.324909,8.296792,8.053814,8.129663,8.069464,8.133959,7.652183,8.358131,8.428202,8.134928,7.859185
"AACS",7.102545,6.856582,6.80827,6.724049,6.448791,6.56679,6.870566,7.024415,6.712532,6.935833,6.954655,6.800572,6.693644,6.687676
