,Pretreatment_Placebo1,Pretreatment_Placebo2,Pretreatment_Placebo3,Pretreatment_Placebo4,Pretreatment_Placebo5,Pretreatment_Placebo6,Pretreatment_Placebo7
ID_REF,GSM1923000,GSM1923004,GSM1923010,GSM1923012,GSM1923007,GSM1923020,GSM192998
7892501,3.717824,3.729148,3.033761,2.153854,2.533737,4.298575,4.72671
7892502,5.310078,5.091635,5.550284,5.459599,4.226795,4.35685,5.184906
7892503,5.493803,3.997863,3.589492,3.991282,4.337193,2.9256,4.490729
7892504,8.039742,8.175573,8.114624,7.97229,7.476847,8.411827,8.418159
7892505,3.338301,3.613875,3.644359,2.530214,3.226675,2.761169,3.044906
7892506,6.457455,6.64462,6.514655,7.1405,6.338618,6.673563,6.601449
7892507,6.915361,6.471087,7.211585,6.571233,7.123944,6.372947,6.944426
7892508,7.788518,7.282649,7.851702,7.311427,7.673084,7.252614,8.065189
7892509,8.922159,8.960048,8.826871,9.114307,8.992264,9.117436,9.287678
7892510,6.390503,5.808733,7.231185,6.323731,6.479266,6.316287,6.759302
7892511,4.213835,4.578616,6.101244,4.810765,5.093187,5.584288,5.481145
7892512,6.798157,6.888971,7.220271,7.253021,6.048708,7.214499,6.669732
7892513,3.332917,4.713544,4.839893,4.363902,4.153367,5.198897,5.137646
7892514,9.766026,9.549304,10.00193,9.567918,9.789215,9.763116,10.39167
7892515,8.513082,8.866633,8.650176,8.883055,8.646107,8.531662,8.584501
7892516,4.430879,4.617656,5.939906,4.88412,4.926013,5.892011,5.632879
7892517,8.080807,8.015317,8.276039,8.29669,8.100956,7.950011,8.02802
7892518,4.897418,4.661922,3.918333,4.770321,4.328378,3.933283,5.150755
7892519,3.98747,4.500732,4.66124,4.772501,4.856055,5.607525,4.994958
7892520,9.278355,9.599074,9.235237,9.719821,9.21707,9.017572,8.866735
7892521,9.678169,9.48557,9.514595,9.635947,9.147103,9.725082,9.08363
7892522,7.220665,7.719425,7.697921,7.846156,7.7513,7.532497,7.601614
7892524,6.399101,6.796018,6.278679,6.390438,6.77675,6.390882,6.123729
7892525,6.885603,7.068026,7.535183,7.403979,7.596607,7.362403,7.231012
7892526,6.297039,5.808478,6.794432,5.773929,6.433272,6.394612,5.816067
7892527,8.757798,8.500816,8.504755,8.577127,8.332636,8.62454,8.270548
7892528,2.171153,1.917549,3.045947,1.984959,1.958349,2.358038,2.117598
7892529,5.662189,4.798792,6.142045,5.523215,5.930727,6.104383,5.77174
7892530,7.587457,7.222109,7.781057,7.897556,8.056866,7.929243,8.068632
7892531,7.599761,6.620739,7.926506,7.516219,8.544416,8.723227,8.657644
7892532,4.344415,4.001222,5.667313,5.339796,5.523854,4.903891,4.95272
7892533,5.735672,5.683463,5.926049,4.811163,5.375203,5.907052,6.118608
7892534,7.197726,6.924148,8.028914,6.933474,7.44293,7.2398,6.853466
7892535,6.79579,7.073151,7.473515,6.341119,7.069451,6.852854,5.788778
7892536,11.05695,10.9215,11.222,10.87794,11.05732,11.36821,11.27193
7892537,3.470405,3.445347,3.530687,3.876664,3.12089,4.578389,2.997774
7892538,4.989565,5.391104,6.394591,4.361061,6.646908,6.890888,6.53025
7892539,6.276663,5.736661,7.606048,6.881066,6.160729,6.932243,6.991701
7892540,7.312333,7.863994,7.116649,7.637483,6.249049,6.589156,7.592985
7892541,9.147971,8.61316,8.979501,8.912013,9.118104,9.223395,10.13226
7892542,9.680538,9.820309,9.812061,9.378795,9.326544,9.53391,9.584809
7892543,7.096409,7.690012,6.930294,6.292585,5.710158,6.584806,6.831059
7892544,5.443558,4.771028,5.552661,5.6232,5.895617,5.77725,4.540678
7892545,5.618284,5.735633,5.258313,5.777222,5.531113,6.209792,5.96853
7892547,6.13875,6.004869,6.088543,5.966535,5.581384,5.895319,5.483718
7892548,8.617426,8.305903,8.773815,8.764555,8.193456,8.921001,8.533625
7892549,6.925829,7.134812,7.207961,7.178771,7.215247,7.685612,7.379427
7892550,5.437775,6.194091,6.097895,6.243793,6.286681,6.325983,5.546882
7892551,10.32864,10.28863,10.80873,10.37937,10.51378,10.481,10.53497
7892552,4.979774,5.148814,6.249105,5.25212,6.510403,5.274016,6.147707
7892553,6.568884,5.50489,6.3032,5.175304,5.51055,6.244927,6.199537
7892554,5.336606,4.966659,4.446866,4.87471,3.980503,5.530281,4.273173
7892555,8.454504,8.195574,8.269984,8.108542,8.134807,8.120447,8.438526
7892556,12.05246,12.01075,12.11922,12.03344,12.0571,12.22843,12.02814
7892557,4.822379,5.073401,4.459775,4.429524,4.191336,3.914531,6.065061
7892558,5.485583,6.204825,4.891253,5.52049,4.789752,5.325714,4.897122
7892559,6.910811,6.321875,6.95998,7.234239,6.937366,6.71498,6.731927
7892560,6.02112,5.562144,5.384703,4.784983,5.204192,5.829386,5.38406
7892561,10.97736,11.24098,11.31789,11.59004,11.45325,11.35716,11.65093
7892562,7.676782,7.671618,7.539881,6.84382,7.071055,7.89228,7.582509
7892563,7.754302,7.604794,7.749042,7.358481,7.275689,7.869459,7.517739
7892564,12.06731,12.08138,12.23636,12.06368,12.19771,12.31053,12.64274
7892565,6.58852,7.033154,6.015807,6.468307,6.674785,6.308082,5.859575
7892566,5.439762,5.230835,5.105852,5.451442,5.40911,5.549768,5.692374
7892567,6.876598,7.039861,7.199317,6.830419,6.702905,7.5625,7.287826
7892568,11.08007,10.85218,11.02451,10.2743,10.622,11.01966,11.42551
7892569,9.844541,10.15993,10.29017,10.21427,10.61184,10.50999,10.29388
7892570,6.099318,6.518222,6.57596,6.772012,6.002415,6.523795,6.61913
7892571,4.02851,4.553645,4.598797,4.158284,4.616528,4.984392,5.153771
7892572,7.471834,7.331864,7.238756,6.961825,7.456621,7.160243,6.245353
7892573,7.041579,7.111681,7.445232,7.661263,7.489417,7.220106,7.327555
7892574,10.84399,10.65078,10.92595,10.89642,10.51657,11.16262,11.29729
7892575,8.363959,8.354706,8.816577,8.038327,8.027369,8.690978,8.262973
7892576,5.992632,5.712392,5.425437,4.830476,4.911958,4.906693,4.732846
7892577,4.460958,3.212758,4.727803,3.372778,4.134154,3.506896,4.620814
7892578,5.399033,4.453697,4.739947,4.519596,5.061571,4.244469,5.313862
