,Pretreatment_Quercetin1,Pretreatment_Quercetin2,Pretreatment_Quercetin3,Pretreatment_Quercetin4,Pretreatment_Quercetin5,Pretreatment_Quercetin6,Pretreatment_Quercetin7
ID_REF,GSM1922995,GSM1923002,GSM1923008,GSM1923015,GSM1923018,GSM1923022,GSM1923017
7892501,4.782038,4.664423,4.463912,5.875796,3.52116,2.540174,3.681878
7892502,5.783429,5.42288,4.719443,5.446539,5.470243,4.873803,5.160882
7892503,4.802441,4.259964,3.930138,3.97098,4.975098,3.572175,3.928969
7892504,8.361611,8.163826,8.572164,8.115875,8.523596,8.061623,8.128003
7892505,3.610473,3.795393,2.442093,3.344886,3.438155,3.199495,2.925796
7892506,6.909518,6.941031,6.276112,7.373228,7.164866,6.883941,6.701702
7892507,6.706769,6.849873,6.807207,6.955538,6.210779,6.231201,6.984308
7892508,7.475313,7.952179,7.56841,8.019222,7.339988,7.750936,6.935583
7892509,8.974467,9.339937,8.818483,9.236951,9.081862,9.334186,8.667342
7892510,6.422356,7.115253,6.486483,6.552769,6.650359,5.852604,5.531282
7892511,5.875756,5.829208,5.402067,6.018989,5.211982,6.300252,5.67844
7892512,6.971744,6.915815,6.742089,7.059029,7.090231,6.953308,6.672797
7892513,4.933465,3.620927,4.283772,4.306447,4.857481,5.32533,3.914333
7892514,10.17556,9.832496,9.827337,9.739328,9.581702,9.677645,9.853565
7892515,8.135493,8.410303,8.749938,8.443981,8.476939,8.743331,8.5387
7892516,6.148726,4.631317,5.059124,5.54651,5.743739,5.153418,4.241579
7892517,8.295724,8.180406,8.182959,8.393934,8.058153,8.14132,8.118876
7892518,4.592189,3.792608,4.750713,4.505285,4.104189,4.008112,4.39992
7892519,5.303476,3.622713,4.973193,4.671226,4.532537,4.912528,4.647636
7892520,9.072849,9.227285,9.413422,9.230173,8.826386,9.414932,9.358604
7892521,9.404222,9.316971,9.061286,9.406984,9.609453,9.351026,9.630704
7892522,6.997828,7.941616,7.759081,7.421205,7.745395,7.945934,7.850695
7892524,6.790689,6.533715,6.748137,6.400177,6.687303,6.719919,6.362619
7892525,7.070043,7.10111,7.127286,7.409531,7.101435,7.115477,7.50236
7892526,6.617826,6.961128,5.801909,6.716069,6.144365,6.286473,5.574378
7892527,8.151353,8.472494,7.874835,8.680283,8.500986,8.574403,7.794912
7892528,2.192873,2.130996,1.844905,2.34218,2.449528,2.58185,1.847893
7892529,6.292734,5.902009,5.531991,5.811514,5.260374,6.112584,6.308033
7892530,8.245122,7.941232,8.116663,7.829614,7.03948,8.166069,7.430194
7892531,8.269027,7.481119,7.398999,7.722898,7.503724,7.504947,7.62087
7892532,5.139386,5.08025,5.018063,5.216176,5.885427,4.867678,4.667318
7892533,6.225356,5.803978,5.30267,5.665968,5.842835,5.29608,4.535327
7892534,7.373287,7.595373,7.451143,7.755104,7.064192,8.228674,6.91242
7892535,7.09114,5.508152,6.5759,6.408845,6.280974,6.51818,5.986016
7892536,11.06732,11.20296,11.12641,10.96653,11.42318,10.56265,10.51063
7892537,3.662958,3.054801,3.0636,3.730748,3.2068,3.088696,4.161467
7892538,5.989276,6.602722,6.105175,6.679245,5.898205,4.826109,5.265459
7892539,7.105291,7.087614,6.676224,7.416348,7.273214,7.214176,6.605307
7892540,7.283377,7.428698,6.856528,6.878033,6.81025,7.342564,6.808952
7892541,9.826814,9.775343,8.981192,9.354804,9.158193,8.926053,8.470024
7892542,9.805279,9.417045,9.359597,9.712126,9.62661,9.176929,9.422116
7892543,6.44006,6.679593,7.341247,6.127172,6.910614,6.033939,6.8533
7892544,5.11083,3.623953,5.626485,4.81198,5.238035,5.969167,5.497015
7892545,5.750787,5.32044,5.485214,5.675772,5.702896,6.360631,6.11732
7892547,6.143625,5.952403,6.073843,6.19325,6.389845,7.165683,5.980546
7892548,8.808184,8.555024,8.475142,8.774343,8.608329,8.43125,8.466306
7892549,7.353329,6.767678,7.410976,7.526418,7.169731,7.549529,7.495587
7892550,4.938335,5.90043,5.31611,6.587212,5.770526,5.800873,5.654874
