"lemmatized_summary","gene","value","change","summary","Official.Name","summarySource"
"for BBOF1 Gene BBOF1 ( Basal Body Orientation Factor 1 ) be a Protein code gene. disease associate with BBOF1 include Methylmalonate Semialdehyde Dehydrogenase Deficiency. a important paralog of this gene be CCDC166. for BBOF1 Gene Basal body protein require in multiciliate cell to align and maintain cilium orientation in response to flow. May act by mediate a maturation step that stabilize and align cilium orientation. Not require to respond to planar cell polarity ( PCP ) or flow - base orientation cue ( By similarity )","BBOF1","Up Regulated EGCG+Quercentin",-0.403802357,"
 for BBOF1 Gene

BBOF1 (Basal Body Orientation Factor 1) is a Protein Coding gene. Diseases associated with BBOF1 include Methylmalonate Semialdehyde Dehydrogenase Deficiency. An important paralog of this gene is CCDC166.
 for BBOF1 Gene

    Basal body protein required in multiciliate cells to align and maintain cilia orientation in response to flow. May act by mediating a maturation step that stabilizes and aligns cilia orientation. Not required to respond to planar cell polarity (PCP) or flow-based orientation cues (By similarity)","basal body orientation factor 1","genecards.org"
"for CTNNAL1 Gene CTNNAL1 ( Catenin Alpha Like 1 ) be a Protein code gene. Among its relate pathway be Toll - like Receptor signal Pathway. ( ) relate to this gene include structural molecule activity and cadherin bind. a important paralog of this gene be CTNNA2. for CTNNAL1 Gene May modulate the Rho pathway signal by provide a scaffold for the Lbc Rho guanine nucleotide exchange factor ( ARHGEF1 ). CTNL1 _ HUMAN, Q9UBT7","CTNNAL1","Up Regulated EGCG+Quercentin",-0.471180429,"
 for CTNNAL1 Gene

CTNNAL1 (Catenin Alpha Like 1) is a Protein Coding gene. Among its related pathways are Toll-like Receptor Signaling Pathway.  ()  related to this gene include structural molecule activity and cadherin binding. An important paralog of this gene is CTNNA2.
 for CTNNAL1 Gene

    May modulate the Rho pathway signaling by providing a scaffold for the Lbc Rho guanine nucleotide exchange factor (ARHGEF1).
        CTNL1_HUMAN,Q9UBT7 
","catenin alpha like 1","genecards.org"
"for IGKV1 - 33 Gene IGKV1 - 33 ( Immunoglobulin Kappa Variable 1 - 33 ) be a Protein code gene. a important paralog of this gene be IGKV1D - 33. for IGKV1 - 33 Gene V region of the variable domain of immunoglobulin light chain that participate in the antigen recognition (: 24600447 ). immunoglobulin, also know as antibody, be membrane - bind or secrete glycoprotein produce by B lymphocyte. In the recognition phase of humoral immunity, the membrane - bind immunoglobulin serve as receptor which, upon bind of a specific antigen, trigger the clonal expansion and differentiation of B lymphocyte into immunoglobulin - secrete plasma cell. secrete immunoglobulin mediate the effector phase of humoral immunity, which result in the elimination of bind antigen (: 20176268,: 22158414 ). The antigen bind site be form by the variable domain of one heavy chain, together with that of its associate light chain. Thus, each immunoglobulin have two antigen bind site with remarkable affinity for a particular antigen. The variable domain be assemble by a process call V - ( have ) - J rearrangement and can then be subject to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (: 20176268,: 17576170 ). KV133 _ HUMAN, P01594","IGKV1-33","Up Regulated EGCG",-0.417029643,"
 for IGKV1-33 Gene

IGKV1-33 (Immunoglobulin Kappa Variable 1-33) is a Protein Coding gene. An important paralog of this gene is IGKV1D-33.
 for IGKV1-33 Gene

    V region of the variable domain of immunoglobulin light chains that participates in the antigen recognition (:24600447). Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (:20176268, :22158414). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (:20176268, :17576170).
        KV133_HUMAN,P01594 
","immunoglobulin kappa variable 1-33","genecards.org"
"for IGKV1 - 5 Gene IGKV1 - 5 ( Immunoglobulin Kappa Variable 1 - 5 ) be a Protein code gene. disease associate with IGKV1 - 5 include Light Chain Deposition Disease. ( ) relate to this gene include antigen bind. a important paralog of this gene be IGKV1D - 13. for IGKV1 - 5 Gene V region of the variable domain of immunoglobulin light chain that participate in the antigen recognition (: 24600447 ). immunoglobulin, also know as antibody, be membrane - bind or secrete glycoprotein produce by B lymphocyte. In the recognition phase of humoral immunity, the membrane - bind immunoglobulin serve as receptor which, upon bind of a specific antigen, trigger the clonal expansion and differentiation of B lymphocyte into immunoglobulin - secrete plasma cell. secrete immunoglobulin mediate the effector phase of humoral immunity, which result in the elimination of bind antigen (: 20176268,: 22158414 ). The antigen bind site be form by the variable domain of one heavy chain, together with that of its associate light chain. Thus, each immunoglobulin have two antigen bind site with remarkable affinity for a particular antigen. The variable domain be assemble by a process call V - ( have ) - J rearrangement and can then be subject to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (: 20176268,: 17576170 ). KV105 _ HUMAN, P01602","IGKV1-5","Up Regulated EGCG",-0.500883714,"
 for IGKV1-5 Gene

IGKV1-5 (Immunoglobulin Kappa Variable 1-5) is a Protein Coding gene. Diseases associated with IGKV1-5 include Light Chain Deposition Disease.  ()  related to this gene include antigen binding. An important paralog of this gene is IGKV1D-13.
 for IGKV1-5 Gene

    V region of the variable domain of immunoglobulin light chains that participates in the antigen recognition (:24600447). Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (:20176268, :22158414). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (:20176268, :17576170).
        KV105_HUMAN,P01602 
","immunoglobulin kappa variable 1-5","genecards.org"
"for IGKV2 - 24 Gene IGKV2 - 24 ( Immunoglobulin Kappa Variable 2 - 24 ) be a Protein code gene. a important paralog of this gene be IGKV2D - 24. for IGKV2 - 24 Gene V region of the variable domain of immunoglobulin light chain that participate in the antigen recognition (: 24600447 ). immunoglobulin, also know as antibody, be membrane - bind or secrete glycoprotein produce by B lymphocyte. In the recognition phase of humoral immunity, the membrane - bind immunoglobulin serve as receptor which, upon bind of a specific antigen, trigger the clonal expansion and differentiation of B lymphocyte into immunoglobulin - secrete plasma cell. secrete immunoglobulin mediate the effector phase of humoral immunity, which result in the elimination of bind antigen (: 20176268,: 22158414 ). The antigen bind site be form by the variable domain of one heavy chain, together with that of its associate light chain. Thus, each immunoglobulin have two antigen bind site with remarkable affinity for a particular antigen. The variable domain be assemble by a process call V - ( have ) - J rearrangement and can then be subject to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (: 20176268,: 17576170 ). KV224 _ HUMAN, A0A0C4DH68 Additional gene information for IGKV2 - 24 Gene","IGKV2-24","Up Regulated EGCG",-0.398315071,"
 for IGKV2-24 Gene

IGKV2-24 (Immunoglobulin Kappa Variable 2-24) is a Protein Coding gene. An important paralog of this gene is IGKV2D-24.
 for IGKV2-24 Gene

    V region of the variable domain of immunoglobulin light chains that participates in the antigen recognition (:24600447). Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (:20176268, :22158414). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (:20176268, :17576170).
        KV224_HUMAN,A0A0C4DH68 

Additional gene information for IGKV2-24 Gene ","immunoglobulin kappa variable 2-24",NA
"for IGKV2 - 30 Gene IGKV2 - 30 ( Immunoglobulin Kappa Variable 2 - 30 ) be a Protein code gene. a important paralog of this gene be IGKV2D - 30. for IGKV2 - 30 Gene V region of the variable domain of immunoglobulin light chain that participate in the antigen recognition (: 24600447 ). immunoglobulin, also know as antibody, be membrane - bind or secrete glycoprotein produce by B lymphocyte. In the recognition phase of humoral immunity, the membrane - bind immunoglobulin serve as receptor which, upon bind of a specific antigen, trigger the clonal expansion and differentiation of B lymphocyte into immunoglobulin - secrete plasma cell. secrete immunoglobulin mediate the effector phase of humoral immunity, which result in the elimination of bind antigen (: 20176268,: 22158414 ). The antigen bind site be form by the variable domain of one heavy chain, together with that of its associate light chain. Thus, each immunoglobulin have two antigen bind site with remarkable affinity for a particular antigen. The variable domain be assemble by a process call V - ( have ) - J rearrangement and can then be subject to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (: 20176268,: 17576170 ). KV230 _ HUMAN, P06310","IGKV2-30","Up Regulated EGCG",-0.4379165,"
 for IGKV2-30 Gene

IGKV2-30 (Immunoglobulin Kappa Variable 2-30) is a Protein Coding gene. An important paralog of this gene is IGKV2D-30.
 for IGKV2-30 Gene

    V region of the variable domain of immunoglobulin light chains that participates in the antigen recognition (:24600447). Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (:20176268, :22158414). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (:20176268, :17576170).
        KV230_HUMAN,P06310 
","immunoglobulin kappa variable 2-30","genecards.org"
"for IGKV3 - 11 Gene IGKV3 - 11 ( Immunoglobulin Kappa Variable 3 - 11 ) be a Protein code gene. ( ) relate to this gene include antigen bind. a important paralog of this gene be IGKV3D - 11. for IGKV3 - 11 Gene V region of the variable domain of immunoglobulin light chain that participate in the antigen recognition (: 24600447 ). immunoglobulin, also know as antibody, be membrane - bind or secrete glycoprotein produce by B lymphocyte. In the recognition phase of humoral immunity, the membrane - bind immunoglobulin serve as receptor which, upon bind of a specific antigen, trigger the clonal expansion and differentiation of B lymphocyte into immunoglobulin - secrete plasma cell. secrete immunoglobulin mediate the effector phase of humoral immunity, which result in the elimination of bind antigen (: 20176268,: 22158414 ). The antigen bind site be form by the variable domain of one heavy chain, together with that of its associate light chain. Thus, each immunoglobulin have two antigen bind site with remarkable affinity for a particular antigen. The variable domain be assemble by a process call V - ( have ) - J rearrangement and can then be subject to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (: 20176268,: 17576170 ). KV311 _ HUMAN, P04433","IGKV3-11","Up Regulated EGCG",-0.441037357,"
 for IGKV3-11 Gene

IGKV3-11 (Immunoglobulin Kappa Variable 3-11) is a Protein Coding gene.  ()  related to this gene include antigen binding. An important paralog of this gene is IGKV3D-11.
 for IGKV3-11 Gene

    V region of the variable domain of immunoglobulin light chains that participates in the antigen recognition (:24600447). Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (:20176268, :22158414). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (:20176268, :17576170).
        KV311_HUMAN,P04433 
","immunoglobulin kappa variable 3-11","genecards.org"
"for POU2AF1 Gene POU2AF1 ( POU Class 2 Homeobox associate Factor 1 ) be a Protein code gene. disease associate with POU2AF1 include Hodgkin's Lymphoma, Lymphocytic Depletion and Primary Biliary Cholangitis. ( ) relate to this gene include transcription coactivator activity and transcription coregulator activity. for POU2AF1 Gene Transcriptional coactivator that specifically associate with either OCT1 or OCT2. It boost the OCT1 mediate promoter activity and to a lesser extent, that of OCT2. It have no intrinsic DNA - bind activity. It recognize the POU domain of OCT1 and OCT2. It be essential for the response of B - cell to antigen and require for the formation of germinal center.","POU2AF1","Up Regulated EGCG",-0.409293857,"
 for POU2AF1 Gene

POU2AF1 (POU Class 2 Homeobox Associating Factor 1) is a Protein Coding gene. Diseases associated with POU2AF1 include Hodgkin's Lymphoma, Lymphocytic Depletion and Primary Biliary Cholangitis.  ()  related to this gene include transcription coactivator activity and transcription coregulator activity.
 for POU2AF1 Gene

    Transcriptional coactivator that specifically associates with either OCT1 or OCT2. It boosts the OCT1 mediated promoter activity and to a lesser extent, that of OCT2. It has no intrinsic DNA-binding activity. It recognizes the POU domains of OCT1 and OCT2. It is essential for the response of B-cells to antigens and required for the formation of germinal centers. ","
    POU class 2 homeobox associating factor 1","genecards.org"
"for TREML4 Gene TREML4 ( trigger Receptor express On Myeloid cell Like 4 ) be a Protein code gene. Among its relate pathway be Immunoregulatory interaction between a Lymphoid and a non - Lymphoid cell and Class I MHC mediate antigen process and presentation. a important paralog of this gene be NCR2. for TREML4 Gene Positively regulate Toll - like receptor TLR7 signal in macrophage. TRML4 _ HUMAN, Q6UXN2","TREML4","Up Regulated EGCG",-0.493424214,"
 for TREML4 Gene

TREML4 (Triggering Receptor Expressed On Myeloid Cells Like 4) is a Protein Coding gene. Among its related pathways are Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell and Class I MHC mediated antigen processing and presentation. An important paralog of this gene is NCR2.
 for TREML4 Gene

    Positively regulates Toll-like receptor TLR7 signaling in macrophages.
        TRML4_HUMAN,Q6UXN2 
","triggering receptor expressed on myeloid cells like 4","genecards.org"
"HBZP1 ( Hemoglobin Subunit Zeta Pseudogene 1 ) be a Pseudogene.","HBZP1","Up Regulated EGCG",-0.570047,"HBZP1 (Hemoglobin Subunit Zeta Pseudogene 1) is a Pseudogene.","hemoglobin subunit zeta pseudogene 1","genecards.org"
